name_muni_uf_from,name_muni_uf_to,sg_iata_origem,sg_iata_destino,date,year,month,day,total_pass,dist_pair,n_flights,lon_from,lat_from,lon_to,lat_to
florianopolis-sc,rio de janeiro-rj,FLN,GIG,2020-03-04,2020,3,4,225,747.911071843207,2,-48.5476373781933,-27.58779554855,-43.2278751249952,-22.8766521181865
rio de janeiro-rj,bayeux-pb,GIG,JPA,2020-03-05,2020,3,5,363,1955.92008752251,2,-43.2278751249952,-22.8766521181865,-34.9291858200857,-7.132276485
rio de janeiro-rj,confins-mg,GIG,CNF,2020-03-04,2020,3,4,250,368.199406189062,3,-43.2278751249952,-22.8766521181865,-43.9955960875638,-19.6299482494053
confins-mg,rio de janeiro-rj,CNF,GIG,2020-03-04,2020,3,4,223,368.199406189062,3,-43.9955960875638,-19.6299482494053,-43.2278751249952,-22.8766521181865
campinas-sp,rio de janeiro-rj,VCP,GIG,2020-03-04,2020,3,4,410,393.210656059303,6,-47.0601562729731,-22.9073425,-43.2278751249952,-22.8766521181865
campinas-sp,rio de janeiro-rj,VCP,SDU,2020-03-05,2020,3,5,921,393.210656059303,12,-47.0601562729731,-22.9073425,-43.2278751249952,-22.8766521181865
rio de janeiro-rj,sao paulo-sp,GIG,CGH,2020-03-05,2020,3,5,357,350.556818135554,5,-43.2278751249952,-22.8766521181865,-46.5703831821127,-23.5673865
sao paulo-sp,rio de janeiro-rj,CGH,GIG,2020-03-05,2020,3,5,496,350.556818135554,5,-46.5703831821127,-23.5673865,-43.2278751249952,-22.8766521181865
sao paulo-sp,maringa-pr,CGH,MGF,2020-03-05,2020,3,5,350,548.670790495924,3,-46.5703831821127,-23.5673865,-51.9398818702521,-23.42228
guarulhos-sp,chapeco-sc,GRU,XAP,2020-03-05,2020,3,5,354,733.392073068895,5,-46.5310840856611,-23.468506,-52.6170311134138,-27.1068370215332
sao paulo-sp,porto seguro-ba,CGH,BPS,2020-03-05,2020,3,5,179,1112.24197645069,1,-46.5703831821127,-23.5673865,-39.0621135238902,-16.4490561793642
recife-pe,sao paulo-sp,REC,CGH,2020-03-05,2020,3,5,529,2120.80240335024,5,-34.8889419445777,-8.06276248305241,-46.5703831821127,-23.5673865
