name_muni_uf_from,name_muni_uf_to,sg_iata_origem,sg_iata_destino,year,month,total_pass,dist_pair,n_flights,lon_from,lat_from,lon_to,lat_to,travel_time,top_plane,hourss,minutess
Brasilia-DF,Porto Velho-RO,BSB,PVH,2020,1,10258,1899.26397210109,61,-47.8879054780313,-15.794087361891,-63.8314456543611,-8.76889179,2 horas e 48 minutos,BOEING 737-800,2,48
Brasilia-DF,Porto Velho-RO,BSB,PVH,2020,2,8847,1899.26397210109,56,-47.8879054780313,-15.794087361891,-63.8314456543611,-8.76889179,2 horas e 48 minutos,BOEING 737-800,2,48
Brasilia-DF,Porto Velho-RO,BSB,PVH,2020,3,6085,1899.26397210109,50,-47.8879054780313,-15.794087361891,-63.8314456543611,-8.76889179,2 horas e 48 minutos,BOEING 737-800,2,48
Brasilia-DF,Porto Velho-RO,BSB,PVH,2020,4,642,1899.26397210109,5,-47.8879054780313,-15.794087361891,-63.8314456543611,-8.76889179,2 horas e 48 minutos,BOEING 737-800,2,48
Brasilia-DF,Porto Velho-RO,BSB,PVH,2020,5,806,1899.26397210109,9,-47.8879054780313,-15.794087361891,-63.8314456543611,-8.76889179,2 horas e 48 minutos,BOEING 737-800,2,48
Brasilia-DF,Porto Velho-RO,BSB,PVH,2020,6,1296,1899.26397210109,11,-47.8879054780313,-15.794087361891,-63.8314456543611,-8.76889179,2 horas e 48 minutos,BOEING 737-800,2,48
Brasilia-DF,Recife-PE,BSB,REC,2020,1,30815,1653.09077751873,246,-47.8879054780313,-15.794087361891,-34.8889419445777,-8.06276248305241,2 horas e 31 minutos,AIRBUS A320-100/200,2,31
Brasilia-DF,Recife-PE,BSB,REC,2020,2,27794,1653.09077751873,230,-47.8879054780313,-15.794087361891,-34.8889419445777,-8.06276248305241,2 horas e 31 minutos,AIRBUS A320-100/200,2,31
Brasilia-DF,Recife-PE,BSB,REC,2020,3,16818,1653.09077751873,166,-47.8879054780313,-15.794087361891,-34.8889419445777,-8.06276248305241,2 horas e 31 minutos,AIRBUS A320-100/200,2,31
Brasilia-DF,Recife-PE,BSB,REC,2020,4,38,1653.09077751873,1,-47.8879054780313,-15.794087361891,-34.8889419445777,-8.06276248305241,2 horas e 31 minutos,AIRBUS A320-100/200,2,31
Brasilia-DF,Recife-PE,BSB,REC,2020,5,643,1653.09077751873,16,-47.8879054780313,-15.794087361891,-34.8889419445777,-8.06276248305241,2 horas e 31 minutos,AIRBUS A320-100/200,2,31
Brasilia-DF,Recife-PE,BSB,REC,2020,6,1904,1653.09077751873,40,-47.8879054780313,-15.794087361891,-34.8889419445777,-8.06276248305241,2 horas e 31 minutos,AIRBUS A320-100/200,2,31
Brasilia-DF,Rio de Janeiro-RJ,BSB,GIG,2020,1,27800,924.140262385753,238,-47.8879054780313,-15.794087361891,-43.2278751249952,-22.8766521181865,1 hora e 43 minutos,,1,43
Brasilia-DF,Rio de Janeiro-RJ,BSB,GIG,2020,2,22695,924.140262385753,182,-47.8879054780313,-15.794087361891,-43.2278751249952,-22.8766521181865,1 hora e 43 minutos,,1,43
Brasilia-DF,Rio de Janeiro-RJ,BSB,GIG,2020,3,13582,924.140262385753,142,-47.8879054780313,-15.794087361891,-43.2278751249952,-22.8766521181865,1 hora e 43 minutos,,1,43
Brasilia-DF,Rio de Janeiro-RJ,BSB,GIG,2020,5,487,924.140262385753,31,-47.8879054780313,-15.794087361891,-43.2278751249952,-22.8766521181865,1 hora e 43 minutos,,1,43
Brasilia-DF,Rio de Janeiro-RJ,BSB,GIG,2020,6,734,924.140262385753,14,-47.8879054780313,-15.794087361891,-43.2278751249952,-22.8766521181865,1 hora e 43 minutos,,1,43
Brasilia-DF,Rio de Janeiro-RJ,BSB,SDU,2020,1,70414,924.140262385753,645,-47.8879054780313,-15.794087361891,-43.2278751249952,-22.8766521181865,1 hora e 44 minutos,AIRBUS A319,1,44
Brasilia-DF,Rio de Janeiro-RJ,BSB,SDU,2020,2,62531,924.140262385753,569,-47.8879054780313,-15.794087361891,-43.2278751249952,-22.8766521181865,1 hora e 44 minutos,AIRBUS A319,1,44
Brasilia-DF,Rio de Janeiro-RJ,BSB,SDU,2020,3,35380,924.140262385753,418,-47.8879054780313,-15.794087361891,-43.2278751249952,-22.8766521181865,1 hora e 44 minutos,AIRBUS A319,1,44
Brasilia-DF,Rio de Janeiro-RJ,BSB,SDU,2020,4,750,924.140262385753,13,-47.8879054780313,-15.794087361891,-43.2278751249952,-22.8766521181865,1 hora e 44 minutos,AIRBUS A319,1,44
Brasilia-DF,Rio de Janeiro-RJ,BSB,SDU,2020,5,540,924.140262385753,8,-47.8879054780313,-15.794087361891,-43.2278751249952,-22.8766521181865,1 hora e 44 minutos,AIRBUS A319,1,44
Brasilia-DF,Rio de Janeiro-RJ,BSB,SDU,2020,6,6308,924.140262385753,66,-47.8879054780313,-15.794087361891,-43.2278751249952,-22.8766521181865,1 hora e 44 minutos,AIRBUS A319,1,44
Brasilia-DF,Rio Largo-AL,BSB,MCZ,2020,1,24369,1481.31950622843,149,-47.8879054780313,-15.794087361891,-35.8524223085924,-9.48615760833584,2 horas e 20 minutos,AIRBUS A321-100/200,2,20
Brasilia-DF,Rio Largo-AL,BSB,MCZ,2020,2,15170,1481.31950622843,90,-47.8879054780313,-15.794087361891,-35.8524223085924,-9.48615760833584,2 horas e 20 minutos,AIRBUS A321-100/200,2,20
Brasilia-DF,Rio Largo-AL,BSB,MCZ,2020,3,9888,1481.31950622843,69,-47.8879054780313,-15.794087361891,-35.8524223085924,-9.48615760833584,2 horas e 20 minutos,AIRBUS A321-100/200,2,20
Brasilia-DF,Salvador-BA,BSB,SSA,2020,1,28442,1059.13704890768,187,-47.8879054780313,-15.794087361891,-38.4880614840078,-13.0147719115328,1 hora e 52 minutos,BOEING 737-800,1,52
Brasilia-DF,Salvador-BA,BSB,SSA,2020,2,23448,1059.13704890768,151,-47.8879054780313,-15.794087361891,-38.4880614840078,-13.0147719115328,1 hora e 52 minutos,BOEING 737-800,1,52
Brasilia-DF,Salvador-BA,BSB,SSA,2020,3,12025,1059.13704890768,99,-47.8879054780313,-15.794087361891,-38.4880614840078,-13.0147719115328,1 hora e 52 minutos,BOEING 737-800,1,52
Brasilia-DF,Salvador-BA,BSB,SSA,2020,4,262,1059.13704890768,4,-47.8879054780313,-15.794087361891,-38.4880614840078,-13.0147719115328,1 hora e 52 minutos,BOEING 737-800,1,52
Brasilia-DF,Salvador-BA,BSB,SSA,2020,5,82,1059.13704890768,1,-47.8879054780313,-15.794087361891,-38.4880614840078,-13.0147719115328,1 hora e 52 minutos,BOEING 737-800,1,52
Brasilia-DF,Salvador-BA,BSB,SSA,2020,6,901,1059.13704890768,14,-47.8879054780313,-15.794087361891,-38.4880614840078,-13.0147719115328,1 hora e 52 minutos,BOEING 737-800,1,52
Brasilia-DF,Sao Goncalo do Amarante-RN,BSB,NAT,2020,1,19213,1762.08725023039,116,-47.8879054780313,-15.794087361891,-35.3311560930852,-5.78955554020528,2 horas e 41 minutos,BOEING 737-800,2,41
Brasilia-DF,Sao Goncalo do Amarante-RN,BSB,NAT,2020,2,10919,1762.08725023039,73,-47.8879054780313,-15.794087361891,-35.3311560930852,-5.78955554020528,2 horas e 41 minutos,BOEING 737-800,2,41
